credit_card_name,reward_type,speciality,points_accumulation_rate,primary_usage_category,bank_name,annual_charges_in_inr
Federal Travel 2,premium_points,online_cashback,5.35,shopping,Federal Bank,3268
IndusInd Legend 3,premium_points,golf_membership,5.46,dining,IndusInd Bank,9786
Canara Smart 1,cashback,accelerated_rewards,0.9,business,Canara Bank,609
Airtel Premium,dining_rewards,insurance_coverage,3.33,travel,Airtel Payments Bank,1960
HDFC Diners 1,travel_points,milestone_rewards,3.9,online_spends,HDFC Bank,1495
Federal Signature,travel_points,welcome_bonus,4.89,shopping,Federal Bank,4688
ICICI Merchant,cashback,movie_discounts,0.97,online_spends,ICICI Bank,2532
IDFC FIRST Travel 2,fuel_rewards,concierge_service,4.24,fuel,IDFC First Bank,6370
Union Elite,travel_points,online_cashback,4.88,fuel,Union Bank of India,9706
ICICI MakeMyTrip 1,travel_points,online_cashback,3.88,luxury,ICICI Bank,1363
Federal Plus 2,fuel_rewards,fuel_surcharge_waiver,3.13,online_spends,Federal Bank,5583
ICICI MakeMyTrip,premium_points,insurance_coverage,3.98,luxury,ICICI Bank,7634
Yes Reserve 4,premium_points,golf_membership,5.21,business,Yes Bank,8816
RBL Business Ultra 1,premium_points,dining_discounts,5.76,fuel,RBL Bank,9197
Kotak Urban,travel_points,dining_discounts,3.52,groceries,Kotak Mahindra,1325
IDFC FIRST Exclusive,dining_rewards,accelerated_rewards,3.02,business,IDFC First Bank,4542
Kotak Emerald,fuel_rewards,insurance_coverage,3.89,dining,Kotak Mahindra,4545
Axis Ace,travel_points,airport_lounge_access,4.48,travel,Axis Bank,6841
BOB Travel 1,cashback,online_cashback,0.87,shopping,Bank of Baroda,1252
Union Rewards,shopping_rewards,airport_lounge_access,1.63,dining,Union Bank of India,6913
Union Privilege 8,fuel_rewards,golf_membership,2.68,travel,Union Bank of India,1718
IndusInd Merchant 2,travel_points,grocery_cashback,3.72,luxury,IndusInd Bank,6797
SBI Cashback 2,fuel_rewards,movie_discounts,4.34,online_spends,SBI,4699
IndusInd Legend 2,fuel_rewards,priority_checkout,3.81,travel,IndusInd Bank,7093
Federal Plus 1,shopping_rewards,grocery_cashback,2.84,travel,Federal Bank,4922
Yes Reserve 3,shopping_rewards,accelerated_rewards,2.9,shopping,Yes Bank,6477
IDFC FIRST Digital 2,fuel_rewards,insurance_coverage,2.1,luxury,IDFC First Bank,5740
Axis Vistara 1,dining_rewards,milestone_rewards,3.24,fuel,Axis Bank,2341
Axis Vistara 3,dining_rewards,golf_membership,3.2,luxury,Axis Bank,5299
BOB Premium 1,travel_points,dining_discounts,4.04,travel,Bank of Baroda,1682
Yes Elite,shopping_rewards,movie_discounts,3.88,fuel,Yes Bank,4077
Federal Exclusive 2,dining_rewards,online_cashback,2.69,business,Federal Bank,5373
ICICI Amazon,dining_rewards,online_cashback,4.93,travel,ICICI Bank,3528
SBI Cashback,travel_points,accelerated_rewards,4.27,luxury,SBI,7395
Canara Elite,cashback,online_cashback,1.7,fuel,Canara Bank,1287
SBI SimplyCLICK 1,dining_rewards,concierge_service,3.21,shopping,SBI,4277
Yes Elite 1,dining_rewards,welcome_bonus,2.73,travel,Yes Bank,3438
Federal Prestige 1,dining_rewards,online_cashback,3.49,fuel,Federal Bank,1451
Federal Travel,dining_rewards,milestone_rewards,4.27,travel,Federal Bank,1103
BOB Gold,shopping_rewards,dining_discounts,3.3,business,Bank of Baroda,1750
ICICI Air 1,shopping_rewards,fuel_surcharge_waiver,2.13,fuel,ICICI Bank,2136
Axis Flipkart 1,dining_rewards,welcome_bonus,3.18,dining,Axis Bank,5722
IndusInd Multicurrency,dining_rewards,accelerated_rewards,4.94,online_spends,IndusInd Bank,9602
